     1         C1     CC3162     0.2900    12.0110
     2         H1       HCA1     0.0900     1.0080
     3         C5     CC3163     0.1100    12.0110
     4         H5       HCA1     0.0900     1.0080
     5         O5     OC3C61    -0.4000    15.9994
     6         C2     CC3161     0.1340    12.0110
     7         H2       HCA1     0.0900     1.0080
     8         NC        NH1    -0.5870    14.0070
     9         HN          H     0.3630     1.0080
    10         CM         CC     0.5500    12.0110
    11         OM          O    -0.5500    15.9994
    12         CC        CT3    -0.2700    12.0110
    13        HC1        HA3     0.0900     1.0080
    14        HC2        HA3     0.0900     1.0080
    15        HC3        HA3     0.0900     1.0080
    16         C3     CC3161     0.1400    12.0110
    17         H3       HCA1     0.0900     1.0080
    18         O3      OC311    -0.6500    15.9994
    19        HO3       HCP1     0.4200     1.0080
    20         C4     CC3161     0.0900    12.0110
    21         H4       HCA1     0.0900     1.0080
    22         O4      OC301    -0.3600    15.9994
    23         C6      CC321     0.0500    12.0110
    24        H61       HCA2     0.0900     1.0080
    25        H62       HCA2     0.0900     1.0080
    26         O6      OC311    -0.6500    15.9994
    27        HO6       HCP1     0.4200     1.0080
    28         C1     CC3162     0.2900    12.0110
    29         H1       HCA1     0.0900     1.0080
    30         C5     CC3163     0.1100    12.0110
    31         H5       HCA1     0.0900     1.0080
    32         O5     OC3C61    -0.4000    15.9994
    33         C2     CC3161     0.1340    12.0110
    34         H2       HCA1     0.0900     1.0080
    35         NC        NH1    -0.5870    14.0070
    36         HN          H     0.3630     1.0080
    37         CM         CC     0.5500    12.0110
    38         OM          O    -0.5500    15.9994
    39         CC        CT3    -0.2700    12.0110
    40        HC1        HA3     0.0900     1.0080
    41        HC2        HA3     0.0900     1.0080
    42        HC3        HA3     0.0900     1.0080
    43         C3     CC3161    -0.0240    12.0110
    44         H3       HCA1     0.0900     1.0080
    45         O3      OC311    -0.4060    15.9994
    46         CA        CT1     0.2500    12.0110
    47         HA        HB1     0.0900     1.0080
    48          C          C     0.5100    12.0110
    49          O          O    -0.5100    15.9994
    50         CB        CT3    -0.2700    12.0110
    51        HB1        HA3     0.0900     1.0080
    52        HB2        HA3     0.0900     1.0080
    53        HB3        HA3     0.0900     1.0080
    54         C4     CC3161     0.0900    12.0110
    55         H4       HCA1     0.0900     1.0080
    56         O4      OC301    -0.3600    15.9994
    57         C6      CC321     0.0500    12.0110
    58        H61       HCA2     0.0900     1.0080
    59        H62       HCA2     0.0900     1.0080
    60         O6      OC311    -0.6500    15.9994
    61        HO6       HCP1     0.4200     1.0080
    62          N        NH1    -0.4700    14.0070
    63         HN          H     0.3100     1.0080
    64         CA        CT1     0.0700    12.0110
    65         HA        HB1     0.0900     1.0080
    66         CB        CT3    -0.2700    12.0110
    67        HB1        HA3     0.0900     1.0080
    68        HB2        HA3     0.0900     1.0080
    69        HB3        HA3     0.0900     1.0080
    70          C          C     0.5100    12.0110
    71          O          O    -0.5100    15.9994
    72          N        NH1    -0.4700    14.0070
    73         HN          H     0.3100     1.0080
    74         CA        CT1     0.0700    12.0110
    75         HA        HB1     0.0900     1.0080
    76         CD         CC     0.5500    12.0110
    77        OE1          O    -0.5500    15.9994
    78        NE2        NH2    -0.6200    14.0070
    79       HE21          H     0.3200     1.0080
    80       HE22          H     0.3000     1.0080
    81         CB        CT2    -0.1800    12.0110
    82        HB1        HA2     0.0900     1.0080
    83        HB2        HA2     0.0900     1.0080
    84         CG        CT2    -0.1800    12.0110
    85        HG1        HA2     0.0900     1.0080
    86        HG2        HA2     0.0900     1.0080
    87          C          C     0.5100    12.0110
    88          O          O    -0.5100    15.9994
    89          N        NH1    -0.4700    14.0070
    90         HN          H     0.3100     1.0080
    91         CA        CT1     0.0700    12.0110
    92         HA        HB1     0.0900     1.0080
    93         CB        CT2    -0.1800    12.0110
    94        HB1        HA2     0.0900     1.0080
    95        HB2        HA2     0.0900     1.0080
    96         CG        CT2    -0.1800    12.0110
    97        HG1        HA2     0.0900     1.0080
    98        HG2        HA2     0.0900     1.0080
    99         CD        CT2    -0.1800    12.0110
   100        HD1        HA2     0.0900     1.0080
   101        HD2        HA2     0.0900     1.0080
   102         CE        CT2     0.2100    12.0110
   103        HE1        HA2     0.0500     1.0080
   104        HE2        HA2     0.0500     1.0080
   105         NZ        NH3    -0.3000    14.0070
   106        HZ1         HC     0.3300     1.0080
   107        HZ2         HC     0.3300     1.0080
   108        HZ3         HC     0.3300     1.0080
   109          C          C     0.5100    12.0110
   110          O          O    -0.5100    15.9994
   111          N        NH1    -0.4700    14.0070
   112         HN          H     0.3100     1.0080
   113         CA       CTD1     0.0700    12.0110
   114         HA        HB1     0.0900     1.0080
   115         CB        CT3    -0.2700    12.0110
   116        HB1        HA3     0.0900     1.0080
   117        HB2        HA3     0.0900     1.0080
   118        HB3        HA3     0.0900     1.0080
   119          C          C     0.5100    12.0110
   120          O          O    -0.5100    15.9994
   121          N        NH1    -0.4700    14.0070
   122         HN          H     0.3100     1.0080
   123         CA       CTD1     0.0700    12.0110
   124         HA        HB1     0.0900     1.0080
   125         CB        CT3    -0.2700    12.0110
   126        HB1        HA3     0.0900     1.0080
   127        HB2        HA3     0.0900     1.0080
   128        HB3        HA3     0.0900     1.0080
   129          C         CC     0.3400    12.0110
   130        OC1         OC    -0.6700    15.9994
   131        OC2         OC    -0.6700    15.9994
   132         C1     CC3162     0.2900    12.0110
   133         H1       HCA1     0.0900     1.0080
   134         C5     CC3163     0.1100    12.0110
   135         H5       HCA1     0.0900     1.0080
   136         O5     OC3C61    -0.4000    15.9994
   137         C2     CC3161     0.1340    12.0110
   138         H2       HCA1     0.0900     1.0080
   139         NC        NH1    -0.5870    14.0070
   140         HN          H     0.3630     1.0080
   141         CM         CC     0.5500    12.0110
   142         OM          O    -0.5500    15.9994
   143         CC        CT3    -0.2700    12.0110
   144        HC1        HA3     0.0900     1.0080
   145        HC2        HA3     0.0900     1.0080
   146        HC3        HA3     0.0900     1.0080
   147         C3     CC3161     0.1400    12.0110
   148         H3       HCA1     0.0900     1.0080
   149         O3      OC311    -0.6500    15.9994
   150        HO3       HCP1     0.4200     1.0080
   151         C4     CC3161     0.0900    12.0110
   152         H4       HCA1     0.0900     1.0080
   153         O4      OC301    -0.3600    15.9994
   154         C6      CC321     0.0500    12.0110
   155        H61       HCA2     0.0900     1.0080
   156        H62       HCA2     0.0900     1.0080
   157         O6      OC311    -0.6500    15.9994
   158        HO6       HCP1     0.4200     1.0080
   159         C1     CC3162     0.2900    12.0110
   160         H1       HCA1     0.0900     1.0080
   161         C5     CC3163     0.1100    12.0110
   162         H5       HCA1     0.0900     1.0080
   163         O5     OC3C61    -0.4000    15.9994
   164         C2     CC3161     0.1340    12.0110
   165         H2       HCA1     0.0900     1.0080
   166         NC        NH1    -0.5870    14.0070
   167         HN          H     0.3630     1.0080
   168         CM         CC     0.5500    12.0110
   169         OM          O    -0.5500    15.9994
   170         CC        CT3    -0.2700    12.0110
   171        HC1        HA3     0.0900     1.0080
   172        HC2        HA3     0.0900     1.0080
   173        HC3        HA3     0.0900     1.0080
   174         C3     CC3161    -0.0240    12.0110
   175         H3       HCA1     0.0900     1.0080
   176         O3      OC311    -0.4060    15.9994
   177         CA        CT1     0.2500    12.0110
   178         HA        HB1     0.0900     1.0080
   179          C          C     0.5100    12.0110
   180          O          O    -0.5100    15.9994
   181         CB        CT3    -0.2700    12.0110
   182        HB1        HA3     0.0900     1.0080
   183        HB2        HA3     0.0900     1.0080
   184        HB3        HA3     0.0900     1.0080
   185         C4     CC3161     0.0900    12.0110
   186         H4       HCA1     0.0900     1.0080
   187         O4      OC301    -0.3600    15.9994
   188         C6      CC321     0.0500    12.0110
   189        H61       HCA2     0.0900     1.0080
   190        H62       HCA2     0.0900     1.0080
   191         O6      OC311    -0.6500    15.9994
   192        HO6       HCP1     0.4200     1.0080
   193          N        NH1    -0.4700    14.0070
   194         HN          H     0.3100     1.0080
   195         CA        CT1     0.0700    12.0110
   196         HA        HB1     0.0900     1.0080
   197         CB        CT3    -0.2700    12.0110
   198        HB1        HA3     0.0900     1.0080
   199        HB2        HA3     0.0900     1.0080
   200        HB3        HA3     0.0900     1.0080
   201          C          C     0.5100    12.0110
   202          O          O    -0.5100    15.9994
   203          N        NH1    -0.4700    14.0070
   204         HN          H     0.3100     1.0080
   205         CA        CT1     0.0700    12.0110
   206         HA        HB1     0.0900     1.0080
   207         CD         CC     0.5500    12.0110
   208        OE1          O    -0.5500    15.9994
   209        NE2        NH2    -0.6200    14.0070
   210       HE21          H     0.3200     1.0080
   211       HE22          H     0.3000     1.0080
   212         CB        CT2    -0.1800    12.0110
   213        HB1        HA2     0.0900     1.0080
   214        HB2        HA2     0.0900     1.0080
   215         CG        CT2    -0.1800    12.0110
   216        HG1        HA2     0.0900     1.0080
   217        HG2        HA2     0.0900     1.0080
   218          C          C     0.5100    12.0110
   219          O          O    -0.5100    15.9994
   220          N        NH1    -0.4700    14.0070
   221         HN          H     0.3100     1.0080
   222         CA        CT1     0.0700    12.0110
   223         HA        HB1     0.0900     1.0080
   224         CB        CT2    -0.1800    12.0110
   225        HB1        HA2     0.0900     1.0080
   226        HB2        HA2     0.0900     1.0080
